time_s,episode,attempt,sof_hex,residual,timing_accurate,episode_done,checksum_hex,packet_bytes,packet_size,timestamp
93.9887195520023,3,68,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.458
93.99896475499918,3,69,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.468
94.00915632000033,3,70,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.478
94.01943504700102,3,71,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.489
94.02970232100051,3,72,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.499
94.03997294600049,3,73,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.509
94.05024161600159,3,74,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.519
94.06047229199976,3,75,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.530
94.07072364200212,3,76,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.540
94.08100153100168,3,77,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.550
94.09118862600008,3,78,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.560
94.10145589899912,3,79,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.571
94.11163098100224,3,80,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.581
94.12186445100087,3,81,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.591
94.13216357200145,3,82,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.601
94.14238782300163,3,83,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.612
94.15255899399926,3,84,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.622
94.16288242000155,3,85,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.632
94.17319299500014,3,86,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.642
94.18357871999979,3,87,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.653
94.19385353600228,3,88,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.663
