time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
77.0828,-253.74,366.682,443.263,70.0188,-179.878,-108.577,0.0525393,-0.0162622,0.274731,0.000871809,-0.0054221,-0.000231178,-0.00939992,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
78.0744,-253.74,366.682,443.263,70.0188,-179.878,-108.577,0.0540658,-0.016379,0.277012,0.000956514,-0.00549486,-0.000218697,-0.00963912,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
78.8713,-253.74,366.682,443.263,70.0188,-179.878,-108.577,0.0555484,-0.0166016,0.278936,0.00104719,-0.00555409,-0.000203437,-0.00988896,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
79.6134,-253.74,366.682,443.263,70.0188,-179.878,-108.577,0.0569105,-0.0169411,0.280594,0.00114341,-0.0055955,-0.000189389,-0.0100888,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
80.3288,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0569105,-0.0169411,0.280594,0.00114341,-0.0055955,-0.000189389,-0.0102895,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
81.063,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0581176,-0.0173999,0.282034,0.00124479,-0.00561742,-0.000178443,-0.0104646,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
82.0425,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0591754,-0.0179725,0.283265,0.00135102,-0.00562065,-0.000170476,-0.0106536,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
82.686,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0600892,-0.0186533,0.284294,0.00146178,-0.00560602,-0.000165364,-0.0109137,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
83.5028,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0600892,-0.0186533,0.284294,0.00146178,-0.00560602,-0.000165364,-0.0110836,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
84.1805,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0608645,-0.019437,0.28513,0.00157677,-0.0055743,-0.000162989,-0.011303,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
